No.,Time,Source,Destination,Protocol,Length,Info
30,0.884902,Cisco_23:ed:60,Broadcast,ARP,42,Gratuitous ARP for 10.106.64.1 (Reply)
31,1.469005,10.4.246.118,224.0.0.251,MDNS,311,"Standard query response 0x0000 PTR, cache flush Tamsden.local PTR, cache flush Tamsden.local A, cache flush 10.4.246.118 AAAA, cache flush fe80::74b6:23b5:8575:9d8 NSEC, cache flush 118.246.4.10.in-addr.arpa NSEC, cache flush 8.D.9.0.5.7.5.8.5.B.3.2.6.B.4.7.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Tamsden.local OPT"
32,1.499942,10.4.246.118,10.4.255.255,BROWSER,220,Request Announcement TAMSDEN
33,1.696922,10.4.246.118,10.65.2.46,DNS,90,Standard query 0xfcbb A self.events.data.microsoft.com
34,1.718965,10.4.246.118,10.65.2.46,DNS,90,Standard query 0xfcbb A self.events.data.microsoft.com
35,1.731278,10.65.2.46,10.4.246.118,DNS,160,Standard query response 0xfcbb A self.events.data.microsoft.com CNAME self.events.data.onecollector.akadns.net A 52.114.32.8
36,1.747171,10.65.2.46,10.4.246.118,DNS,160,Standard query response 0xfcbb A self.events.data.microsoft.com CNAME self.events.data.onecollector.akadns.net A 52.114.32.8
37,1.777516,10.4.246.118,52.114.32.8,TCP,66,1682  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1
38,1.80502,52.114.32.8,10.4.246.118,TCP,66,"443  >  1682 [SYN, ACK] Seq=0 Ack=1 Win=5560 Len=0 MSS=1250 SACK_PERM=1 WS=128"
39,1.805195,10.4.246.118,52.114.32.8,TCP,54,1682  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0
40,1.808265,10.4.246.118,52.114.32.8,TLSv1.2,245,Client Hello
41,1.813502,10.4.246.118,93.184.220.29,TCP,54,"1680  >  80 [FIN, ACK] Seq=137 Ack=762 Win=130304 Len=0"
42,1.835869,52.114.32.8,10.4.246.118,TCP,54,443  >  1682 [ACK] Seq=1 Ack=192 Win=6656 Len=0
43,1.83607,52.114.32.8,10.4.246.118,TCP,54,"443  >  1682 [FIN, ACK] Seq=1 Ack=192 Win=6656 Len=0"
44,1.836124,10.4.246.118,52.114.32.8,TCP,54,1682  >  443 [ACK] Seq=192 Ack=2 Win=262144 Len=0
45,1.841083,93.184.220.29,10.4.246.118,TCP,54,80  >  1680 [ACK] Seq=762 Ack=138 Win=6656 Len=0
46,1.842823,10.4.246.118,52.114.32.8,TCP,54,"1682  >  443 [FIN, ACK] Seq=192 Ack=2 Win=262144 Len=0"
47,1.851643,10.4.246.118,10.65.0.31,TCP,54,"1656  >  443 [FIN, ACK] Seq=1 Ack=1 Win=65535 Len=0"
48,1.856242,10.4.246.118,52.114.32.8,TCP,66,1683  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1
49,1.868675,10.4.246.118,10.65.0.31,TCP,66,1684  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1
50,1.87021,52.114.32.8,10.4.246.118,TCP,54,443  >  1682 [ACK] Seq=2 Ack=193 Win=6656 Len=0
51,1.880155,10.65.0.31,10.4.246.118,TCP,54,443  >  1656 [ACK] Seq=1 Ack=2 Win=3959 Len=0
52,1.880673,10.65.0.31,10.4.246.118,TCP,54,"443  >  1656 [FIN, ACK] Seq=1 Ack=2 Win=3959 Len=0"
53,1.880747,10.4.246.118,10.65.0.31,TCP,54,1656  >  443 [ACK] Seq=2 Ack=2 Win=65535 Len=0
54,1.883776,52.114.32.8,10.4.246.118,TCP,66,"443  >  1683 [SYN, ACK] Seq=0 Ack=1 Win=5560 Len=0 MSS=1250 SACK_PERM=1 WS=128"
55,1.883893,10.4.246.118,52.114.32.8,TCP,54,1683  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0
56,1.88429,10.4.246.118,52.114.32.8,TLSv1,197,Client Hello
57,1.900899,10.65.0.31,10.4.246.118,TCP,62,"443  >  1684 [SYN, ACK] Seq=0 Ack=1 Win=3750 Len=0 MSS=1250 SACK_PERM=1"
58,1.901015,10.4.246.118,10.65.0.31,TCP,54,1684  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0
59,1.901843,10.4.246.118,10.65.0.31,TLSv1.2,263,Client Hello
60,1.912032,52.114.32.8,10.4.246.118,TCP,54,443  >  1683 [ACK] Seq=1 Ack=144 Win=6656 Len=0
61,1.912327,52.114.32.8,10.4.246.118,TCP,54,"443  >  1683 [FIN, ACK] Seq=1 Ack=144 Win=6656 Len=0"
62,1.912371,10.4.246.118,52.114.32.8,TCP,54,1683  >  443 [ACK] Seq=144 Ack=2 Win=262144 Len=0
63,1.912634,10.4.246.118,52.114.32.8,TCP,54,"1683  >  443 [FIN, ACK] Seq=144 Ack=2 Win=262144 Len=0"
64,1.913753,10.4.246.118,52.114.32.8,TCP,66,1685  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1
65,1.933424,10.65.0.31,10.4.246.118,TCP,54,443  >  1684 [ACK] Seq=1 Ack=210 Win=3959 Len=0
66,1.93799,10.65.0.31,10.4.246.118,TLSv1.2,1304,Server Hello
67,1.938058,10.4.246.118,10.65.0.31,TCP,54,1684  >  443 [ACK] Seq=210 Ack=1251 Win=65535 Len=0
68,1.938244,10.65.0.31,10.4.246.118,TCP,1304,443  >  1684 [ACK] Seq=1251 Ack=210 Win=3959 Len=1250 [TCP segment of a reassembled PDU]
69,1.938272,10.4.246.118,10.65.0.31,TCP,54,1684  >  443 [ACK] Seq=210 Ack=2501 Win=65535 Len=0
70,1.938855,10.65.0.31,10.4.246.118,TLSv1.2,929,"Certificate, Server Key Exchange, Server Hello Done"
71,1.938894,10.4.246.118,10.65.0.31,TCP,54,1684  >  443 [ACK] Seq=210 Ack=3376 Win=65535 Len=0
72,1.940033,52.114.32.8,10.4.246.118,TCP,54,443  >  1683 [ACK] Seq=2 Ack=145 Win=6656 Len=0
73,1.940949,52.114.32.8,10.4.246.118,TCP,66,"443  >  1685 [SYN, ACK] Seq=0 Ack=1 Win=5560 Len=0 MSS=1250 SACK_PERM=1 WS=128"
74,1.941049,10.4.246.118,52.114.32.8,TCP,54,1685  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0
75,1.941279,10.4.246.118,52.114.32.8,TCP,54,"1685  >  443 [FIN, ACK] Seq=1 Ack=1 Win=262144 Len=0"
76,1.944158,10.4.246.118,10.65.0.31,TLSv1.2,180,"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
77,1.969103,52.114.32.8,10.4.246.118,TCP,54,"443  >  1685 [FIN, ACK] Seq=1 Ack=2 Win=5632 Len=0"
78,1.969178,10.4.246.118,52.114.32.8,TCP,54,1685  >  443 [ACK] Seq=2 Ack=2 Win=262144 Len=0
79,1.972558,10.65.0.31,10.4.246.118,TCP,54,443  >  1684 [ACK] Seq=3376 Ack=336 Win=4085 Len=0
80,1.973542,10.65.0.31,10.4.246.118,TLSv1.2,328,"New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
81,1.973599,10.4.246.118,10.65.0.31,TCP,54,1684  >  443 [ACK] Seq=336 Ack=3650 Win=65535 Len=0
82,2.018373,10.4.246.118,10.65.0.31,TLSv1.2,650,Application Data
83,2.033738,Cisco_23:ed:60,Broadcast,ARP,42,Gratuitous ARP for 10.106.176.1 (Reply)
84,2.047731,10.65.0.31,10.4.246.118,TCP,54,443  >  1684 [ACK] Seq=3650 Ack=932 Win=4681 Len=0
85,2.064352,10.65.0.31,10.4.246.118,TLSv1.2,1304,Application Data
86,2.064441,10.4.246.118,10.65.0.31,TCP,54,1684  >  443 [ACK] Seq=932 Ack=4900 Win=65535 Len=0
87,2.064814,10.65.0.31,10.4.246.118,TCP,1304,"443  >  1684 [PSH, ACK] Seq=4900 Ack=932 Win=4681 Len=1250 [TCP segment of a reassembled PDU]"
88,2.064874,10.4.246.118,10.65.0.31,TCP,54,1684  >  443 [ACK] Seq=932 Ack=6150 Win=65535 Len=0
89,2.065277,10.65.0.31,10.4.246.118,TLSv1.2,1056,Application Data
90,2.065279,10.65.0.31,10.4.246.118,TLSv1.2,85,Encrypted Alert
91,2.06528,10.65.0.31,10.4.246.118,TCP,54,"443  >  1684 [FIN, ACK] Seq=7183 Ack=932 Win=4681 Len=0"
92,2.065374,10.4.246.118,10.65.0.31,TCP,54,1684  >  443 [ACK] Seq=932 Ack=7184 Win=65535 Len=0
93,2.068937,10.4.246.118,10.65.0.31,TCP,54,"1684  >  443 [FIN, ACK] Seq=932 Ack=7184 Win=65535 Len=0"
94,2.069062,10.4.246.118,10.65.0.31,TCP,54,"1684  >  443 [RST, ACK] Seq=933 Ack=7184 Win=0 Len=0"
95,2.096767,10.65.0.31,10.4.246.118,TCP,54,443  >  1684 [ACK] Seq=7184 Ack=933 Win=4681 Len=0
96,2.134082,10.4.246.118,10.65.0.31,TCP,66,1686  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1
97,2.137985,10.4.246.118,10.65.0.31,TCP,66,1687  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1
98,2.164937,10.65.0.31,10.4.246.118,TCP,62,"443  >  1686 [SYN, ACK] Seq=0 Ack=1 Win=3750 Len=0 MSS=1250 SACK_PERM=1"
99,2.165016,10.4.246.118,10.65.0.31,TCP,54,1686  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0
100,2.165471,10.4.246.118,10.65.0.31,TLSv1.2,263,Client Hello
101,2.172944,10.65.0.31,10.4.246.118,TCP,62,"443  >  1687 [SYN, ACK] Seq=0 Ack=1 Win=3750 Len=0 MSS=1250 SACK_PERM=1"
102,2.173029,10.4.246.118,10.65.0.31,TCP,54,1687  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0
103,2.176539,10.4.246.118,10.65.0.31,TLSv1.2,253,Client Hello
104,2.19735,10.65.0.31,10.4.246.118,TCP,54,443  >  1686 [ACK] Seq=1 Ack=210 Win=3959 Len=0
105,2.199029,10.65.0.31,10.4.246.118,TLSv1.2,1304,Server Hello
106,2.199083,10.4.246.118,10.65.0.31,TCP,54,1686  >  443 [ACK] Seq=210 Ack=1251 Win=65535 Len=0
107,2.200229,10.65.0.31,10.4.246.118,TCP,1304,443  >  1686 [ACK] Seq=1251 Ack=210 Win=3959 Len=1250 [TCP segment of a reassembled PDU]
108,2.200229,10.65.0.31,10.4.246.118,TLSv1.2,929,"Certificate, Server Key Exchange, Server Hello Done"
109,2.200279,10.4.246.118,10.65.0.31,TCP,54,1686  >  443 [ACK] Seq=210 Ack=3376 Win=65535 Len=0
110,2.202696,10.4.246.118,10.65.0.31,TLSv1.2,180,"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
111,2.202881,10.4.246.118,10.65.0.31,TLSv1.2,757,Application Data
112,2.208203,10.65.0.31,10.4.246.118,TCP,54,443  >  1687 [ACK] Seq=1 Ack=200 Win=3949 Len=0
113,2.213785,10.65.0.31,10.4.246.118,TLSv1.2,1304,Server Hello
114,2.213848,10.4.246.118,10.65.0.31,TCP,54,1687  >  443 [ACK] Seq=200 Ack=1251 Win=65535 Len=0
115,2.213999,10.65.0.31,10.4.246.118,TCP,1304,"443  >  1687 [PSH, ACK] Seq=1251 Ack=200 Win=3949 Len=1250 [TCP segment of a reassembled PDU]"
116,2.214028,10.4.246.118,10.65.0.31,TCP,54,1687  >  443 [ACK] Seq=200 Ack=2501 Win=65535 Len=0
117,2.214686,10.65.0.31,10.4.246.118,TLSv1.2,929,"Certificate, Server Key Exchange, Server Hello Done"
118,2.214714,10.4.246.118,10.65.0.31,TCP,54,1687  >  443 [ACK] Seq=200 Ack=3376 Win=65535 Len=0
119,2.230486,10.65.0.31,10.4.246.118,TCP,54,443  >  1686 [ACK] Seq=3376 Ack=336 Win=4085 Len=0
120,2.231017,10.4.246.118,10.65.0.31,TCP,66,1688  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1
121,2.231861,10.65.0.31,10.4.246.118,TCP,54,443  >  1686 [ACK] Seq=3376 Ack=1039 Win=4788 Len=0
122,2.232228,10.65.0.31,10.4.246.118,TLSv1.2,328,"New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
123,2.232268,10.4.246.118,10.65.0.31,TCP,54,1686  >  443 [ACK] Seq=1039 Ack=3650 Win=65535 Len=0
124,2.233041,10.65.0.31,10.4.246.118,TLSv1.2,1304,Application Data
125,2.233071,10.4.246.118,10.65.0.31,TCP,54,1686  >  443 [ACK] Seq=1039 Ack=4900 Win=65535 Len=0
126,2.233863,10.65.0.31,10.4.246.118,TCP,1304,"443  >  1686 [PSH, ACK] Seq=4900 Ack=1039 Win=4788 Len=1250 [TCP segment of a reassembled PDU]"
127,2.233881,10.4.246.118,10.65.0.31,TCP,54,1686  >  443 [ACK] Seq=1039 Ack=6150 Win=65535 Len=0
128,2.234012,10.65.0.31,10.4.246.118,TCP,1304,443  >  1686 [ACK] Seq=6150 Ack=1039 Win=4788 Len=1250 [TCP segment of a reassembled PDU]
129,2.234043,10.4.246.118,10.65.0.31,TCP,54,1686  >  443 [ACK] Seq=1039 Ack=7400 Win=65535 Len=0
130,2.234429,10.65.0.31,10.4.246.118,TCP,1304,"443  >  1686 [PSH, ACK] Seq=7400 Ack=1039 Win=4788 Len=1250 [TCP segment of a reassembled PDU]"
131,2.234453,10.4.246.118,10.65.0.31,TCP,54,1686  >  443 [ACK] Seq=1039 Ack=8650 Win=65535 Len=0
132,2.235116,10.65.0.31,10.4.246.118,TCP,1304,"443  >  1686 [PSH, ACK] Seq=8650 Ack=1039 Win=4788 Len=1250 [TCP segment of a reassembled PDU]"
133,2.235117,10.65.0.31,10.4.246.118,TCP,656,"443  >  1686 [PSH, ACK] Seq=9900 Ack=1039 Win=4788 Len=602 [TCP segment of a reassembled PDU]"
134,2.235153,10.4.246.118,10.65.0.31,TCP,54,1686  >  443 [ACK] Seq=1039 Ack=10502 Win=65535 Len=0
135,2.256184,10.4.246.118,93.184.221.240,TCP,66,1690  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
136,2.260487,10.65.0.31,10.4.246.118,TCP,602,"443  >  1686 [PSH, ACK] Seq=10502 Ack=1039 Win=4788 Len=548 [TCP segment of a reassembled PDU]"
137,2.260531,10.4.246.118,10.65.0.31,TCP,54,1686  >  443 [ACK] Seq=1039 Ack=11050 Win=65535 Len=0
138,2.26068,10.65.0.31,10.4.246.118,TCP,154,443  >  1686 [ACK] Seq=11050 Ack=1039 Win=4788 Len=100 [TCP segment of a reassembled PDU]
139,2.260702,10.4.246.118,10.65.0.31,TCP,54,1686  >  443 [ACK] Seq=1039 Ack=11150 Win=65535 Len=0
140,2.261284,10.65.0.31,10.4.246.118,TCP,1304,"443  >  1686 [PSH, ACK] Seq=11150 Ack=1039 Win=4788 Len=1250 [TCP segment of a reassembled PDU]"
141,2.261316,10.4.246.118,10.65.0.31,TCP,54,1686  >  443 [ACK] Seq=1039 Ack=12400 Win=65535 Len=0
142,2.262463,10.65.0.31,10.4.246.118,TCP,1304,443  >  1686 [ACK] Seq=12400 Ack=1039 Win=4788 Len=1250 [TCP segment of a reassembled PDU]
143,2.262548,10.4.246.118,10.65.0.31,TCP,54,1686  >  443 [ACK] Seq=1039 Ack=13650 Win=65535 Len=0
144,2.262866,10.65.0.31,10.4.246.118,TCP,1304,"443  >  1686 [PSH, ACK] Seq=13650 Ack=1039 Win=4788 Len=1250 [TCP segment of a reassembled PDU]"
145,2.262925,10.4.246.118,10.65.0.31,TCP,54,1686  >  443 [ACK] Seq=1039 Ack=14900 Win=65535 Len=0
146,2.263379,10.65.0.31,10.4.246.118,TCP,1304,443  >  1686 [ACK] Seq=14900 Ack=1039 Win=4788 Len=1250 [TCP segment of a reassembled PDU]
147,2.263447,10.4.246.118,10.65.0.31,TCP,54,1686  >  443 [ACK] Seq=1039 Ack=16150 Win=65535 Len=0
148,2.263758,10.65.0.31,10.4.246.118,TCP,1304,"443  >  1686 [PSH, ACK] Seq=16150 Ack=1039 Win=4788 Len=1250 [TCP segment of a reassembled PDU]"
149,2.263778,10.4.246.118,10.65.0.31,TCP,54,1686  >  443 [ACK] Seq=1039 Ack=17400 Win=65535 Len=0
150,2.264039,10.65.0.31,10.4.246.118,TCP,1304,443  >  1686 [ACK] Seq=17400 Ack=1039 Win=4788 Len=1250 [TCP segment of a reassembled PDU]
151,2.26407,10.4.246.118,10.65.0.31,TCP,54,1686  >  443 [ACK] Seq=1039 Ack=18650 Win=65535 Len=0
152,2.264527,10.65.0.31,10.4.246.118,TCP,1304,443  >  1686 [ACK] Seq=18650 Ack=1039 Win=4788 Len=1250 [TCP segment of a reassembled PDU]
153,2.264528,10.65.0.31,10.4.246.118,TLSv1.2,612,Application Data
154,2.26456,10.4.246.118,10.65.0.31,TCP,54,1686  >  443 [ACK] Seq=1039 Ack=20458 Win=65535 Len=0
155,2.264852,10.65.0.31,10.4.246.118,TCP,1304,443  >  1686 [ACK] Seq=20458 Ack=1039 Win=4788 Len=1250 [TCP segment of a reassembled PDU]
156,2.264884,10.4.246.118,10.65.0.31,TCP,54,1686  >  443 [ACK] Seq=1039 Ack=21708 Win=65535 Len=0
157,2.265449,10.65.0.31,10.4.246.118,TCP,1304,443  >  1686 [ACK] Seq=21708 Ack=1039 Win=4788 Len=1250 [TCP segment of a reassembled PDU]
158,2.265481,10.4.246.118,10.65.0.31,TCP,54,1686  >  443 [ACK] Seq=1039 Ack=22958 Win=65535 Len=0
159,2.265644,10.65.0.31,10.4.246.118,TCP,1304,"443  >  1686 [PSH, ACK] Seq=22958 Ack=1039 Win=4788 Len=1250 [TCP segment of a reassembled PDU]"
160,2.265644,10.65.0.31,10.4.246.118,TCP,62,"443  >  1688 [SYN, ACK] Seq=0 Ack=1 Win=3750 Len=0 MSS=1250 SACK_PERM=1"
161,2.265714,10.4.246.118,10.65.0.31,TCP,54,1686  >  443 [ACK] Seq=1039 Ack=24208 Win=65535 Len=0
162,2.265739,10.4.246.118,10.65.0.31,TCP,54,1688  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0
163,2.266121,10.4.246.118,10.65.0.31,TLSv1.2,263,Client Hello
164,2.274772,10.4.246.118,51.140.188.242,TCP,66,1691  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1
165,2.283542,93.184.221.240,10.4.246.118,TCP,66,"80  >  1690 [SYN, ACK] Seq=0 Ack=1 Win=5560 Len=0 MSS=1250 SACK_PERM=1 WS=128"
166,2.283622,10.4.246.118,93.184.221.240,TCP,54,1690  >  80 [ACK] Seq=1 Ack=1 Win=131072 Len=0
167,2.28402,10.4.246.118,93.184.221.240,HTTP,299,GET /msdownload/update/v3/static/trustedr/en/disallowedcertstl.cab?1aaf9000446a30d4 HTTP/1.1 
168,2.284174,10.4.246.118,52.16.176.29,TCP,66,1692  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=8 SACK_PERM=1
169,2.28882,10.65.0.31,10.4.246.118,TCP,1304,"443  >  1686 [PSH, ACK] Seq=24208 Ack=1039 Win=4788 Len=1250 [TCP segment of a reassembled PDU]"
170,2.288886,10.4.246.118,10.65.0.31,TCP,54,1686  >  443 [ACK] Seq=1039 Ack=25458 Win=65535 Len=0
171,2.289155,10.65.0.31,10.4.246.118,TCP,1304,443  >  1686 [ACK] Seq=25458 Ack=1039 Win=4788 Len=1250 [TCP segment of a reassembled PDU]
172,2.289191,10.4.246.118,10.65.0.31,TCP,54,1686  >  443 [ACK] Seq=1039 Ack=26708 Win=65535 Len=0
173,2.289835,10.65.0.31,10.4.246.118,TCP,1304,"443  >  1686 [PSH, ACK] Seq=26708 Ack=1039 Win=4788 Len=1250 [TCP segment of a reassembled PDU]"
174,2.289867,10.4.246.118,10.65.0.31,TCP,54,1686  >  443 [ACK] Seq=1039 Ack=27958 Win=65535 Len=0
175,2.291348,10.65.0.31,10.4.246.118,TCP,1304,443  >  1686 [ACK] Seq=27958 Ack=1039 Win=4788 Len=1250 [TCP segment of a reassembled PDU]
176,2.291368,10.4.246.118,10.65.0.31,TCP,54,1686  >  443 [ACK] Seq=1039 Ack=29208 Win=65535 Len=0
177,2.292128,10.65.0.31,10.4.246.118,TCP,1304,"443  >  1686 [PSH, ACK] Seq=29208 Ack=1039 Win=4788 Len=1250 [TCP segment of a reassembled PDU]"
178,2.292129,10.65.0.31,10.4.246.118,TCP,1304,443  >  1686 [ACK] Seq=30458 Ack=1039 Win=4788 Len=1250 [TCP segment of a reassembled PDU]
179,2.292169,10.4.246.118,10.65.0.31,TCP,54,1686  >  443 [ACK] Seq=1039 Ack=31708 Win=65535 Len=0
180,2.292805,10.65.0.31,10.4.246.118,TCP,1304,"443  >  1686 [PSH, ACK] Seq=31708 Ack=1039 Win=4788 Len=1250 [TCP segment of a reassembled PDU]"
181,2.292841,10.4.246.118,10.65.0.31,TCP,54,1686  >  443 [ACK] Seq=1039 Ack=32958 Win=65535 Len=0
182,2.293789,10.65.0.31,10.4.246.118,TCP,1304,443  >  1686 [ACK] Seq=32958 Ack=1039 Win=4788 Len=1250 [TCP segment of a reassembled PDU]
183,2.29379,10.65.0.31,10.4.246.118,TCP,1304,"443  >  1686 [PSH, ACK] Seq=34208 Ack=1039 Win=4788 Len=1250 [TCP segment of a reassembled PDU]"
184,2.29379,10.65.0.31,10.4.246.118,TCP,1304,443  >  1686 [ACK] Seq=35458 Ack=1039 Win=4788 Len=1250 [TCP segment of a reassembled PDU]
185,2.293817,10.4.246.118,10.65.0.31,TCP,54,1686  >  443 [ACK] Seq=1039 Ack=36708 Win=65535 Len=0
186,2.293991,10.65.0.31,10.4.246.118,TLSv1.2,993,"Application Data, Application Data, Encrypted Alert"
187,2.293992,10.65.0.31,10.4.246.118,TCP,54,"443  >  1686 [FIN, ACK] Seq=37647 Ack=1039 Win=4788 Len=0"
188,2.294024,10.4.246.118,10.65.0.31,TCP,54,1686  >  443 [ACK] Seq=1039 Ack=37648 Win=65535 Len=0
189,2.294361,10.4.246.118,10.65.0.31,TCP,54,"1686  >  443 [FIN, ACK] Seq=1039 Ack=37648 Win=65535 Len=0"
190,2.297198,10.4.246.118,239.255.255.250,SSDP,143,M-SEARCH * HTTP/1.1 
191,2.300017,10.65.0.31,10.4.246.118,TCP,54,443  >  1688 [ACK] Seq=1 Ack=210 Win=3959 Len=0
192,2.30207,10.65.0.31,10.4.246.118,TLSv1.2,1304,Server Hello
193,2.302141,10.4.246.118,10.65.0.31,TCP,54,1688  >  443 [ACK] Seq=210 Ack=1251 Win=65535 Len=0
194,2.302461,10.65.0.31,10.4.246.118,TCP,1304,443  >  1688 [ACK] Seq=1251 Ack=210 Win=3959 Len=1250 [TCP segment of a reassembled PDU]
195,2.302464,51.140.188.242,10.4.246.118,TCP,66,"443  >  1691 [SYN, ACK] Seq=0 Ack=1 Win=5560 Len=0 MSS=1250 SACK_PERM=1 WS=128"
196,2.302572,10.4.246.118,10.65.0.31,TCP,54,1688  >  443 [ACK] Seq=210 Ack=2501 Win=65535 Len=0
197,2.30262,10.4.246.118,51.140.188.242,TCP,54,1691  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0
198,2.302888,10.4.246.118,51.140.188.242,TLSv1.2,262,Client Hello
199,2.305379,10.65.0.31,10.4.246.118,TLSv1.2,929,"Certificate, Server Key Exchange, Server Hello Done"
200,2.305425,10.4.246.118,10.65.0.31,TCP,54,1688  >  443 [ACK] Seq=210 Ack=3376 Win=65535 Len=0
201,2.307916,10.4.246.118,10.65.0.31,TLSv1.2,180,"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
202,2.308147,10.4.246.118,10.65.0.31,TLSv1.2,781,Application Data
